,target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url,sugar_result_perc,fiber_result_perc,calories_result_ratio,file_name,cropped_path
95,Adult,58,http://cerealfacts.org/media/cereal_images/GMWheatiesFuel.jpg,25%,15%,255,14,8,140,190,55,96,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=96,25,15,3.45454545455,img_096_gmwheatiesfuel.jpg,../img/cropped/img_096_gmwheatiesfuel_cropped.png
96,Adult,50,http://cerealfacts.org/media/cereal_images/KelloggAllBranBranBuds.jpg,27%,43%,700,8,13,210,80,30,97,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=97,27,43,2.66666666667,img_097_kelloggallbranbranbuds.jpg,../img/cropped/img_097_kelloggallbranbranbuds_cropped.png
97,Adult,52,http://cerealfacts.org/media/cereal_images/KelloggAllBranCompleteWheatFlakes.jpg,17%,17%,724,5,5,210,90,29,98,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=98,17,17,3.10344827586,img_098_kelloggallbrancompletewheatflakes.jpg,../img/cropped/img_098_kelloggallbrancompletewheatflakes_cropped.png
98,Adult,72,http://cerealfacts.org/media/cereal_images/KelloggAllBranOriginal.jpg,19%,32%,258,6,10,80,80,31,99,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=99,19,32,2.58064516129,img_099_kelloggallbranoriginal.jpg,../img/cropped/img_099_kelloggallbranoriginal_cropped.png
99,Child,44,http://cerealfacts.org/media/cereal_images/KelloggAppleJacksRegular.jpg,43%,11%,464,12,3,130,100,28,100,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=100,43,11,3.57142857143,img_100_kelloggapplejacksregular.jpg,../img/cropped/img_100_kelloggapplejacksregular_cropped.png
100,Child,42,http://cerealfacts.org/media/cereal_images/KelloggCocoaKrispiesRegular.jpg,39%,3%,419,12,1,130,120,31,101,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=101,39,3,3.87096774194,img_101_kelloggcocoakrispiesregular.jpg,../img/cropped/img_101_kelloggcocoakrispiesregular_cropped.png
101,Adult,50,http://cerealfacts.org/media/cereal_images/KelloggCornFlakes.jpg,11%,4%,714,3,1,200,100,28,102,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=102,11,4,3.57142857143,img_102_kelloggcornflakes.jpg,../img/cropped/img_102_kelloggcornflakes_cropped.png
102,Child,50,http://cerealfacts.org/media/cereal_images/KelloggCornPopsRegular.jpg,31%,9%,391,10,3,125,120,32,103,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=103,31,9,3.75,img_103_kelloggcornpopsregular.jpg,../img/cropped/img_103_kelloggcornpopsregular_cropped.png
103,Adult,40,http://cerealfacts.org/media/cereal_images/KelloggCracklinOatBran.jpg,31%,12%,306,15,6,150,200,49,104,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=104,31,12,4.08163265306,img_104_kelloggcracklinoatbran.jpg,../img/cropped/img_104_kelloggcracklinoatbran_cropped.png
104,Adult,46,http://cerealfacts.org/media/cereal_images/KelloggCrispix.jpg,14%,3%,759,4,1,220,110,29,105,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=105,14,3,3.79310344828,img_105_kelloggcrispix.jpg,../img/cropped/img_105_kelloggcrispix_cropped.png
105,Adult,46,http://cerealfacts.org/media/cereal_images/KelloggCrunchyNutGoldenHoneyNut.jpg,32%,3%,435,10,1,135,120,31,106,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=106,32,3,3.87096774194,img_106_kelloggcrunchynutgoldenhoneynut.jpg,../img/cropped/img_106_kelloggcrunchynutgoldenhoneynut_cropped.png
106,Adult,50,http://cerealfacts.org/media/cereal_images/KelloggCrunchyNutGoldenHoneyNut.jpg,37%,7%,352,10,2,95,100,27,107,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=107,37,7,3.7037037037,img_107_kelloggcrunchynutgoldenhoneynut.jpg,../img/cropped/img_107_kelloggcrunchynutgoldenhoneynut_cropped.png
